State,Total LSLs (high estimate),State Population,LSLs per 100k people,LSLs per 100k people 
Alabama,63000,5024279,1254,1254
Alaska,3800,733391,518,518
Arizona,12000,7151502,168,168
Arkansas,40000,3011524,1328,1328
California,65000,39538223,164,164
Colorado,64650,5773714,1120,1120
Connecticut,43000,3605944,1192,1192
Delaware,16000,989948,1616,1616
District of Columbia,31974,689545,4637,4637
Florida,200000,21538187,929,929
Georgia,86000,10711908,803,803
Hawaii,2800,1455271,192,192
Idaho,6200,1839106,337,337
Illinois,679292,12812508,5302,5302
Indiana,290000,6785528,4274,4274
Iowa,160000,3190369,5015,5015
Kansas,160000,2937880,5446,5446
Kentucky,53000,4505836,1176,1176
Louisiana,56000,4657757,1202,1202
Maine,15000,1362359,1101,1101
Maryland,74000,6177224,1198,1198
Massachusetts,220000,7029917,3129,3129
Michigan,460000,10077331,4565,4565
Minnesota,260000,5706494,4556,4556
Mississippi,29000,2961279,979,979
Missouri,330000,6154913,5362,5362
Montana,10000,1084225,922,922
Nebraska,97000,1961504,4945,4945
Nevada,5200,3104614,167,167
New Hampshire,20000,1377529,1452,1452
New Jersey,350000,9288994,3768,3768
New Mexico,26000,2117522,1228,1228
New York,360000,20201249,1782,1782
North Carolina,82000,10439388,785,785
North Dakota,8200,779094,1053,1053
Ohio,650000,11799448,5509,5509
Oklahoma,48000,3959353,1212,1212
Oregon,14000,4237256,330,330
Pennsylvania,160000,13002700,1231,1231
Rhode Island,20000,1097379,1823,1823
outh Carolina,44000,5118425,860,860
outh Dakota,10000,886667,1128,1128
Tennessee,74000,6910840,1071,1071
Texas,270000,29145505,926,926
Utah,23000,3271616,703,703
Vermont,7400,643077,1151,1151
Virginia,97000,8631393,1124,1124
Washington,27000,7705281,350,350
West Virginia,20000,1793716,1115,1115
Wisconsin,329866,5893718,5597,5597
Wyoming,6300,576851,1092,1092
