CITY_NAME,0
ADVANCE,1
AMSTERDAM,1
ANDERSON,1
ARNOLD,20
AVA,16
BELTON,3
BERKELEY,10
BLOOMSDALE,1
BONNE TERRE,12
BOSS,2
BRIDGETON,10
CABOOL,2
CAMDENTON,16
CAPE GIRARDEAU,24
CARTHAGE,40
CARUTHERSVILLE,3
CASSVILLE,14
CENTRALIA,33
CHILLICOTHE,18
CLARENCE,5
CLAYCOMO,7
COLE CAMP,1
COLUMBIA,14
CUBA,8
DONIPHAN,3
EARTH CITY,13
ELDON,9
EUREKA,16
EXCELSIOR SPRINGS,16
FARMINGTON,6
FENTON,29
FESTUS,6
FOREST CITY,2
FORT LEONARD WOOD,25
GARDEN CITY,14
GLASGOW,24
GLOVER,7
GRAIN VALLEY,16
GRANDVIEW,5
HANNIBAL,8
HARRISONVILLE,16
HAYTI,2
HAZELWOOD,17
HERCULANEUM,1
HIGH HILL,13
HIGH RIDGE,41
HOPKINS,2
INDEPENDENCE,24
JACKSON,39
JEFFERSON CITY,56
JONESBURG,1
JOPLIN,23
KANSAS CITY,135
KENNETT,10
KINGSVILLE,13
LEBANON,23
LEES SUMMIT,2
LIBERTY,2
LONEDELL,1
LOUISIANA,3
MALDEN,5
MANCHESTER,1
MANSFIELD,11
MARSTON,15
MARYVILLE,23
MEXICO,9
MILAN,4
MOBERLY,7
MONETT,23
MONROE CITY,24
MONTROSE,2
MOSCOW MILLS,5
MOUNT VERNON,14
MOUNTAIN GROVE,3
NEOSHO,16
NEVADA,11
NORTH KANSAS CITY,12
O FALLON,14
OLIVETTE,2
OZARK,21
PALMYRA,9
PECULIAR,3
PEVELY,3
POPLAR BLUFF,7
ROLLA,6
SAINT CHARLES,48
SAINT CLAIR,14
SAINT JOSEPH,49
SAINT LOUIS,199
SAINT PETERS,11
SAINTE GENEVIEVE,2
SEDALIA,65
SENECA,4
SEYMOUR,4
SHELBINA,12
SIKESTON,7
SLATER,10
SOUTH WEST CITY,5
SPRINGFIELD,52
STELLA,2
SULLIVAN,8
TRENTON,22
TROY,12
UNION,16
VAN BUREN,4
VERSAILLES,11
WAPPAPELLO,3
WARRENSBURG,16
WARRENTON,20
WASHINGTON,79
WEBB CITY,2
WENTZVILLE,5
WEST PLAINS,9
WHITEMAN AIR FORCE BASE,7
WRIGHT CITY,6
